   Wave [mic]    t_ote(norm)    nc_abs    sys_t(norm)
      2.56000     0.996492      0.99748319      0.99398405
      2.56050     0.996494      0.99748319      0.99398572
      2.56100     0.996493      0.99748319      0.99398524
      2.56150     0.996496      0.99748319      0.99398756
      2.56200     0.996497      0.99748319      0.99398875
      2.56250     0.996497      0.99748319      0.99398946
      2.56300     0.996499      0.99748319      0.99399136
      2.56350     0.996501      0.99748319      0.99399261
      2.56400     0.996503      0.99748319      0.99399469
      2.56450     0.996503      0.99748319      0.99399535
      2.56500     0.996505      0.99748319      0.99399749
      2.56550     0.996506      0.99748319      0.99399790
      2.56600     0.996506      0.99748319      0.99399820
      2.56650     0.996507      0.99748319      0.99399927
      2.56700     0.996508      0.99748319      0.99400034
      2.56750     0.996509      0.99748319      0.99400070
      2.56800     0.996510      0.99748319      0.99400165
      2.56850     0.996512      0.99748319      0.99400397
      2.56900     0.996513      0.99748319      0.99400450
      2.56950     0.996513      0.99748319      0.99400528
      2.57000     0.996514      0.99748319      0.99400647
      2.57050     0.996515      0.99748319      0.99400670
      2.57100     0.996516      0.99748319      0.99400765
      2.57150     0.996517      0.99748319      0.99400944
      2.57200     0.996517      0.99748319      0.99400926
      2.57250     0.996517      0.99748319      0.99400920
      2.57300     0.996519      0.99748319      0.99401063
      2.57350     0.996520      0.99748319      0.99401199
      2.57400     0.996520      0.99748319      0.99401199
      2.57450     0.996521      0.99748319      0.99401336
      2.57500     0.996522      0.99748319      0.99401414
      2.57550     0.996522      0.99748319      0.99401384
      2.57600     0.996524      0.99748319      0.99401562
      2.57650     0.996523      0.99748319      0.99401491
      2.57700     0.996523      0.99748319      0.99401491
      2.57750     0.996524      0.99748319      0.99401604
      2.57800     0.996525      0.99748319      0.99401699
      2.57850     0.996527      0.99748319      0.99401925
      2.57900     0.996527      0.99748319      0.99401871
      2.57950     0.996528      0.99748319      0.99401960
      2.58000     0.996528      0.99748319      0.99402020
      2.58050     0.996528      0.99748319      0.99402032
      2.58100     0.996529      0.99748319      0.99402091
      2.58150     0.996529      0.99748319      0.99402091
      2.58200     0.996529      0.99748319      0.99402103
      2.58250     0.996530      0.99748319      0.99402216
      2.58300     0.996531      0.99748319      0.99402264
      2.58350     0.996531      0.99748319      0.99402293
      2.58400     0.996531      0.99748319      0.99402335
      2.58450     0.996532      0.99748319      0.99402395
      2.58500     0.996533      0.99748319      0.99402537
      2.58550     0.996534      0.99748319      0.99402579
      2.58600     0.996534      0.99748319      0.99402567
      2.58650     0.996537      0.99748319      0.99402870
      2.58700     0.996536      0.99748319      0.99402811
      2.58750     0.996537      0.99748319      0.99402852
      2.58800     0.996538      0.99748319      0.99403019
      2.58850     0.996538      0.99748319      0.99403031
      2.58900     0.996539      0.99748319      0.99403078
      2.58950     0.996541      0.99748319      0.99403286
      2.59000     0.996540      0.99748319      0.99403215
      2.59050     0.996543      0.99748319      0.99403459
      2.59100     0.996543      0.99748319      0.99403477
      2.59150     0.996544      0.99748319      0.99403578
      2.59200     0.996545      0.99748319      0.99403726
      2.59250     0.996546      0.99748319      0.99403827
      2.59300     0.996548      0.99748319      0.99403946
      2.59350     0.996549      0.99748319      0.99404053
      2.59400     0.996550      0.99748319      0.99404214
      2.59450     0.996552      0.99748319      0.99404410
      2.59500     0.996553      0.99748319      0.99404493
      2.59550     0.996554      0.99748319      0.99404565
      2.59600     0.996555      0.99748319      0.99404672
      2.59650     0.996556      0.99748319      0.99404820
      2.59700     0.996558      0.99748319      0.99404993
      2.59750     0.996558      0.99748319      0.99405005
      2.59800     0.996560      0.99748319      0.99405141
      2.59850     0.996561      0.99748319      0.99405242
      2.59900     0.996562      0.99748319      0.99405427
      2.59950     0.996564      0.99748319      0.99405552
      2.60000     0.996564      0.99748319      0.99405629
      2.60050     0.996565      0.99748319      0.99405659
      2.60100     0.996566      0.99748319      0.99405789
      2.60150     0.996567      0.99748319      0.99405926
      2.60200     0.996569      0.99748319      0.99406045
      2.60250     0.996569      0.99748319      0.99406063
      2.60300     0.996569      0.99748319      0.99406057
      2.60350     0.996571      0.99748319      0.99406253
      2.60400     0.996571      0.99748319      0.99406253
      2.60450     0.996573      0.99748319      0.99406443
      2.60500     0.996573      0.99748319      0.99406473
      2.60550     0.996573      0.99748319      0.99406503
      2.60600     0.996574      0.99748319      0.99406604
      2.60650     0.996575      0.99748319      0.99406646
      2.60700     0.996577      0.99748319      0.99406877
      2.60750     0.996576      0.99748319      0.99406806
      2.60800     0.996576      0.99748319      0.99406794
      2.60850     0.996578      0.99748319      0.99406955
      2.60900     0.996577      0.99748319      0.99406895
      2.60950     0.996579      0.99748319      0.99407038
      2.61000     0.996579      0.99748319      0.99407121
      2.61050     0.996579      0.99746919      0.99405690
      2.61100     0.996580      0.99745524      0.99404365
      2.61150     0.996581      0.99744129      0.99403070
      2.61200     0.996581      0.99742728      0.99401680
      2.61250     0.996583      0.99741334      0.99400474
      2.61300     0.996582      0.99739939      0.99398995
      2.61350     0.996583      0.99738544      0.99397730
      2.61400     0.996583      0.99737144      0.99396328
      2.61450     0.996583      0.99735749      0.99394956
      2.61500     0.996584      0.99734354      0.99393709
      2.61550     0.996584      0.99732959      0.99392271
      2.61600     0.996585      0.99731559      0.99390970
      2.61650     0.996585      0.99730164      0.99389634
      2.61700     0.996586      0.99728769      0.99388315
      2.61750     0.996587      0.99727374      0.99386961
      2.61800     0.996587      0.99725974      0.99385565
      2.61850     0.996588      0.99724579      0.99384300
      2.61900     0.996588      0.99723184      0.99382928
      2.61950     0.996589      0.99721789      0.99381621
      2.62000     0.996590      0.99720395      0.99380356
      2.62050     0.996591      0.99720395      0.99380409
      2.62100     0.996592      0.99720395      0.99380504
      2.62150     0.996592      0.99720395      0.99380552
      2.62200     0.996593      0.99720395      0.99380689
      2.62250     0.996594      0.99720395      0.99380730
      2.62300     0.996593      0.99720395      0.99380659
      2.62350     0.996594      0.99720395      0.99380796
      2.62400     0.996596      0.99720395      0.99380920
      2.62450     0.996595      0.99720395      0.99380885
      2.62500     0.996597      0.99720395      0.99381075
      2.62550     0.996598      0.99720395      0.99381111
      2.62600     0.996599      0.99720395      0.99381241
      2.62650     0.996600      0.99720395      0.99381331
      2.62700     0.996600      0.99720395      0.99381378
      2.62750     0.996601      0.99720395      0.99381438
      2.62800     0.996603      0.99720395      0.99381610
      2.62850     0.996604      0.99720395      0.99381735
      2.62900     0.996604      0.99720395      0.99381765
      2.62950     0.996605      0.99720395      0.99381812
      2.63000     0.996606      0.99720395      0.99381990
      2.63050     0.996607      0.99721789      0.99383392
      2.63100     0.996609      0.99723184      0.99385002
      2.63150     0.996609      0.99724579      0.99386404
      2.63200     0.996610      0.99725974      0.99387937
      2.63250     0.996611      0.99727374      0.99389368
      2.63300     0.996612      0.99728769      0.99390931
      2.63350     0.996613      0.99730164      0.99392416
      2.63400     0.996615      0.99731559      0.99394008
      2.63450     0.996615      0.99732959      0.99395410
      2.63500     0.996617      0.99734354      0.99396984
      2.63550     0.996618      0.99735749      0.99398398
      2.63600     0.996619      0.99737144      0.99399978
      2.63650     0.996620      0.99738544      0.99401392
      2.63700     0.996623      0.99739939      0.99403068
      2.63750     0.996623      0.99741334      0.99404523
      2.63800     0.996626      0.99742728      0.99406175
      2.63850     0.996626      0.99744129      0.99407618
      2.63900     0.996627      0.99745524      0.99409068
      2.63950     0.996627      0.99746919      0.99410511
      2.64000     0.996630      0.99748319      0.99412169
      2.64050     0.996631      0.99748319      0.99412264
      2.64100     0.996631      0.99748319      0.99412240
      2.64150     0.996634      0.99748319      0.99412567
      2.64200     0.996634      0.99748319      0.99412603
      2.64250     0.996636      0.99748319      0.99412811
      2.64300     0.996638      0.99748319      0.99412966
      2.64350     0.996640      0.99748319      0.99413132
      2.64400     0.996641      0.99748319      0.99413281
      2.64450     0.996642      0.99748319      0.99413352
      2.64500     0.996643      0.99748319      0.99413501
      2.64550     0.996644      0.99748319      0.99413572
      2.64600     0.996646      0.99748319      0.99413780
      2.64650     0.996648      0.99748319      0.99413958
      2.64700     0.996650      0.99748319      0.99414113
      2.64750     0.996650      0.99748319      0.99414202
      2.64800     0.996652      0.99748319      0.99414410
      2.64850     0.996653      0.99748319      0.99414499
      2.64900     0.996655      0.99748319      0.99414690
      2.64950     0.996656      0.99748319      0.99414761
      2.65000     0.996657      0.99748319      0.99414886
      2.65050     0.996660      0.99748319      0.99415183
      2.65100     0.996662      0.99748319      0.99415320
      2.65150     0.996662      0.99748319      0.99415385
      2.65200     0.996664      0.99748319      0.99415605
      2.65250     0.996666      0.99748319      0.99415778
      2.65300     0.996667      0.99748319      0.99415849
      2.65350     0.996669      0.99748319      0.99416081
      2.65400     0.996670      0.99748319      0.99416194
      2.65450     0.996673      0.99748319      0.99416456
      2.65500     0.996674      0.99748319      0.99416557
      2.65550     0.996674      0.99748319      0.99416557
      2.65600     0.996677      0.99748319      0.99416842
      2.65650     0.996679      0.99748319      0.99417044
      2.65700     0.996680      0.99748319      0.99417175
      2.65750     0.996681      0.99748319      0.99417246
      2.65800     0.996683      0.99748319      0.99417448
      2.65850     0.996686      0.99748319      0.99417728
      2.65900     0.996686      0.99748319      0.99417787
      2.65950     0.996689      0.99748319      0.99418007
      2.66000     0.996691      0.99748319      0.99418221
      2.66050     0.996692      0.99746919      0.99416932
      2.66100     0.996693      0.99745524      0.99415655
      2.66150     0.996696      0.99744129      0.99414544
      2.66200     0.996697      0.99742734      0.99413327
      2.66250     0.996699      0.99741334      0.99412067
      2.66300     0.996702      0.99739939      0.99410957
      2.66350     0.996701      0.99738544      0.99409513
      2.66400     0.996704      0.99737144      0.99408438
      2.66450     0.996705      0.99735749      0.99407155
      2.66500     0.996707      0.99734354      0.99405919
      2.66550     0.996709      0.99732959      0.99404707
      2.66600     0.996710      0.99731559      0.99403400
      2.66650     0.996712      0.99730164      0.99402248
      2.66700     0.996714      0.99728769      0.99401090
      2.66750     0.996714      0.99727374      0.99399682
      2.66800     0.996717      0.99725974      0.99398595
      2.66850     0.996719      0.99724579      0.99397389
      2.66900     0.996721      0.99723184      0.99396171
      2.66950     0.996723      0.99721789      0.99394959
      2.67000     0.996724      0.99720395      0.99393717
      2.67050     0.996726      0.99721789      0.99395322
      2.67100     0.996728      0.99723184      0.99396920
      2.67150     0.996729      0.99724579      0.99398358
      2.67200     0.996732      0.99725974      0.99400039
      2.67250     0.996734      0.99727374      0.99401637
      2.67300     0.996735      0.99728769      0.99403123
      2.67350     0.996736      0.99730164      0.99404614
      2.67400     0.996737      0.99731559      0.99406170
      2.67450     0.996739      0.99732959      0.99407739
      2.67500     0.996741      0.99734354      0.99409361
      2.67550     0.996742      0.99735749      0.99410834
      2.67600     0.996745      0.99737144      0.99412498
      2.67650     0.996746      0.99738544      0.99414031
      2.67700     0.996748      0.99739939      0.99415588
      2.67750     0.996749      0.99741334      0.99417097
      2.67800     0.996752      0.99742728      0.99418790
      2.67850     0.996753      0.99744129      0.99420293
      2.67900     0.996755      0.99745524      0.99421862
      2.67950     0.996757      0.99746919      0.99423413
      2.68000     0.996758      0.99748319      0.99424940
      2.68050     0.996759      0.99748319      0.99425059
      2.68100     0.996761      0.99748319      0.99425225
      2.68150     0.996764      0.99748319      0.99425540
      2.68200     0.996766      0.99748319      0.99425701
      2.68250     0.996768      0.99748319      0.99425891
      2.68300     0.996768      0.99748319      0.99425944
      2.68350     0.996770      0.99748319      0.99426164
      2.68400     0.996772      0.99748319      0.99426301
      2.68450     0.996773      0.99748319      0.99426456
      2.68500     0.996777      0.99748319      0.99426789
      2.68550     0.996776      0.99748319      0.99426747
      2.68600     0.996778      0.99748319      0.99426955
      2.68650     0.996781      0.99748319      0.99427229
      2.68700     0.996781      0.99748319      0.99427264
      2.68750     0.996783      0.99748319      0.99427401
      2.68800     0.996785      0.99748319      0.99427615
      2.68850     0.996785      0.99748319      0.99427675
      2.68900     0.996787      0.99748319      0.99427829
      2.68950     0.996789      0.99748319      0.99428031
      2.69000     0.996790      0.99748319      0.99428138
      2.69050     0.996793      0.99748319      0.99428418
      2.69100     0.996794      0.99748319      0.99428531
      2.69150     0.996797      0.99748319      0.99428786
      2.69200     0.996798      0.99748319      0.99428893
      2.69250     0.996799      0.99748319      0.99429012
      2.69300     0.996801      0.99748319      0.99429226
      2.69350     0.996804      0.99748319      0.99429476
      2.69400     0.996803      0.99748319      0.99429405
      2.69450     0.996805      0.99748319      0.99429583
      2.69500     0.996806      0.99748319      0.99429702
      2.69550     0.996809      0.99748319      0.99429981
      2.69600     0.996809      0.99748319      0.99430053
      2.69650     0.996812      0.99748319      0.99430297
      2.69700     0.996812      0.99748319      0.99430332
      2.69750     0.996815      0.99748319      0.99430647
      2.69800     0.996816      0.99748319      0.99430742
      2.69850     0.996817      0.99748319      0.99430790
      2.69900     0.996818      0.99748319      0.99430933
      2.69950     0.996820      0.99748319      0.99431123
      2.70000     0.996822      0.99748319      0.99431272
      2.70050     0.996823      0.99748319      0.99431456
      2.70100     0.996823      0.99748319      0.99431432
      2.70150     0.996825      0.99748319      0.99431611
      2.70200     0.996827      0.99748319      0.99431830
      2.70250     0.996829      0.99748319      0.99432009
      2.70300     0.996830      0.99748319      0.99432080
      2.70350     0.996831      0.99748319      0.99432241
      2.70400     0.996831      0.99748319      0.99432259
      2.70450     0.996833      0.99748319      0.99432443
      2.70500     0.996836      0.99748319      0.99432728
      2.70550     0.996838      0.99748319      0.99432871
      2.70600     0.996837      0.99748319      0.99432823
      2.70650     0.996839      0.99748319      0.99432984
      2.70700     0.996839      0.99748319      0.99433008
      2.70750     0.996840      0.99748319      0.99433138
      2.70800     0.996841      0.99748319      0.99433222
      2.70850     0.996842      0.99748319      0.99433275
      2.70900     0.996843      0.99748319      0.99433406
      2.70950     0.996843      0.99748319      0.99433436
      2.71000     0.996843      0.99748319      0.99433388
      2.71050     0.996845      0.99749714      0.99434957
      2.71100     0.996845      0.99751109      0.99436371
      2.71150     0.996846      0.99752504      0.99437874
      2.71200     0.996846      0.99753904      0.99439265
      2.71250     0.996847      0.99755299      0.99440738
      2.71300     0.996846      0.99756694      0.99442111
      2.71350     0.996846      0.99758095      0.99443448
      2.71400     0.996846      0.99759489      0.99444886
      2.71450     0.996847      0.99760884      0.99446323
      2.71500     0.996845      0.99762285      0.99447577
      2.71550     0.996844      0.99763680      0.99448860
      2.71600     0.996845      0.99765074      0.99450322
      2.71650     0.996844      0.99766475      0.99451611
      2.71700     0.996842      0.99767870      0.99452794
      2.71750     0.996843      0.99769264      0.99454309
      2.71800     0.996841      0.99770665      0.99455521
      2.71850     0.996841      0.99772060      0.99456887
      2.71900     0.996838      0.99773455      0.99457968
      2.71950     0.996837      0.99774855      0.99459234
      2.72000     0.996836      0.99776250      0.99460529
      2.72050     0.996834      0.99776250      0.99460315
      2.72100     0.996833      0.99776250      0.99460214
      2.72150     0.996830      0.99776250      0.99459964
      2.72200     0.996829      0.99776250      0.99459833
      2.72250     0.996826      0.99776250      0.99459560
      2.72300     0.996824      0.99776250      0.99459346
      2.72350     0.996821      0.99776250      0.99459096
      2.72400     0.996818      0.99776250      0.99458733
      2.72450     0.996816      0.99776250      0.99458543
      2.72500     0.996813      0.99776250      0.99458275
      2.72550     0.996809      0.99776250      0.99457883
      2.72600     0.996806      0.99776250      0.99457609
      2.72650     0.996802      0.99776250      0.99457193
      2.72700     0.996799      0.99776250      0.99456860
      2.72750     0.996794      0.99776250      0.99456390
      2.72800     0.996792      0.99776250      0.99456176
      2.72850     0.996786      0.99776250      0.99455551
      2.72900     0.996782      0.99776250      0.99455135
      2.72950     0.996778      0.99776250      0.99454802
      2.73000     0.996773      0.99776250      0.99454255
      2.73050     0.996767      0.99776250      0.99453696
      2.73100     0.996761      0.99776250      0.99453077
      2.73150     0.996756      0.99776250      0.99452596
      2.73200     0.996750      0.99776250      0.99451935
      2.73250     0.996745      0.99776250      0.99451430
      2.73300     0.996738      0.99776250      0.99450734
      2.73350     0.996730      0.99776250      0.99450026
      2.73400     0.996725      0.99776250      0.99449473
      2.73450     0.996718      0.99776250      0.99448789
      2.73500     0.996711      0.99776250      0.99448117
      2.73550     0.996704      0.99776250      0.99447386
      2.73600     0.996696      0.99776250      0.99446571
      2.73650     0.996689      0.99776250      0.99445851
      2.73700     0.996681      0.99776250      0.99445102
      2.73750     0.996673      0.99776250      0.99444281
      2.73800     0.996663      0.99776250      0.99443300
      2.73850     0.996656      0.99776250      0.99442646
      2.73900     0.996647      0.99776250      0.99441671
      2.73950     0.996637      0.99776250      0.99440749
      2.74000     0.996629      0.99776250      0.99439863
      2.74050     0.996619      0.99776250      0.99438911
      2.74100     0.996608      0.99776250      0.99437829
      2.74150     0.996599      0.99776250      0.99436925
      2.74200     0.996588      0.99776250      0.99435854
      2.74250     0.996578      0.99776250      0.99434790
      2.74300     0.996565      0.99776250      0.99433559
      2.74350     0.996556      0.99776250      0.99432607
      2.74400     0.996544      0.99776250      0.99431382
      2.74450     0.996531      0.99776250      0.99430121
      2.74500     0.996521      0.99776250      0.99429081
      2.74550     0.996508      0.99776250      0.99427784
      2.74600     0.996495      0.99776250      0.99426541
      2.74650     0.996481      0.99776250      0.99425179
      2.74700     0.996469      0.99776250      0.99423954
      2.74750     0.996454      0.99776250      0.99422420
      2.74800     0.996443      0.99776250      0.99421320
      2.74850     0.996429      0.99776250      0.99419934
      2.74900     0.996413      0.99776250      0.99418352
      2.74950     0.996399      0.99776250      0.99416925
      2.75000     0.996384      0.99776250      0.99415432
      2.75050     0.996368      0.99776250      0.99413904
      2.75100     0.996355      0.99776250      0.99412518
      2.75150     0.996338      0.99776250      0.99410823
      2.75200     0.996322      0.99776250      0.99409277
      2.75250     0.996305      0.99776250      0.99407564
      2.75300     0.996289      0.99776250      0.99405988
      2.75350     0.996271      0.99776250      0.99404162
      2.75400     0.996254      0.99776250      0.99402467
      2.75450     0.996237      0.99776250      0.99400766
      2.75500     0.996218      0.99776250      0.99398905
      2.75550     0.996200      0.99776250      0.99397097
