   Wave [mic]    t_ote(norm)    nc_abs    sys_t(norm)
      2.50000     0.999690      0.99972004      0.99941012
      2.50050     0.999690      0.99972004      0.99941000
      2.50100     0.999689      0.99972004      0.99940958
      2.50150     0.999690      0.99972004      0.99941024
      2.50200     0.999691      0.99972004      0.99941084
      2.50250     0.999691      0.99972004      0.99941143
      2.50300     0.999690      0.99972004      0.99941000
      2.50350     0.999689      0.99972004      0.99940952
      2.50400     0.999691      0.99972004      0.99941143
      2.50450     0.999690      0.99972004      0.99941024
      2.50500     0.999692      0.99972004      0.99941185
      2.50550     0.999692      0.99972004      0.99941173
      2.50600     0.999691      0.99972004      0.99941095
      2.50650     0.999692      0.99972004      0.99941227
      2.50700     0.999691      0.99972004      0.99941137
      2.50750     0.999693      0.99972004      0.99941316
      2.50800     0.999692      0.99972004      0.99941221
      2.50850     0.999692      0.99972004      0.99941250
      2.50900     0.999693      0.99972004      0.99941292
      2.50950     0.999693      0.99972004      0.99941304
      2.51000     0.999693      0.99972004      0.99941316
      2.51050     0.999693      0.99972147      0.99941471
      2.51100     0.999694      0.99972284      0.99941644
      2.51150     0.999694      0.99972421      0.99941805
      2.51200     0.999695      0.99972564      0.99942067
      2.51250     0.999695      0.99972701      0.99942180
      2.51300     0.999695      0.99972844      0.99942347
      2.51350     0.999694      0.99972981      0.99942412
      2.51400     0.999695      0.99973124      0.99942609
      2.51450     0.999694      0.99973261      0.99942716
      2.51500     0.999695      0.99973404      0.99942931
      2.51550     0.999695      0.99973541      0.99943044
      2.51600     0.999695      0.99973685      0.99943235
      2.51650     0.999694      0.99973822      0.99943264
      2.51700     0.999695      0.99973965      0.99943491
      2.51750     0.999696      0.99974102      0.99943723
      2.51800     0.999697      0.99974245      0.99943938
      2.51850     0.999696      0.99974382      0.99943979
      2.51900     0.999696      0.99974525      0.99944170
      2.51950     0.999697      0.99974662      0.99944391
      2.52000     0.999697      0.99974805      0.99944498
      2.52050     0.999697      0.99974805      0.99944534
      2.52100     0.999697      0.99974805      0.99944474
      2.52150     0.999697      0.99974805      0.99944557
      2.52200     0.999697      0.99974805      0.99944474
      2.52250     0.999697      0.99974805      0.99944510
      2.52300     0.999699      0.99974805      0.99944736
      2.52350     0.999697      0.99974805      0.99944522
      2.52400     0.999699      0.99974805      0.99944700
      2.52450     0.999699      0.99974805      0.99944700
      2.52500     0.999698      0.99974805      0.99944641
      2.52550     0.999699      0.99974805      0.99944677
      2.52600     0.999698      0.99974805      0.99944593
      2.52650     0.999698      0.99974805      0.99944641
      2.52700     0.999698      0.99974805      0.99944641
      2.52750     0.999699      0.99974805      0.99944724
      2.52800     0.999700      0.99974805      0.99944778
      2.52850     0.999700      0.99974805      0.99944820
      2.52900     0.999699      0.99974805      0.99944760
      2.52950     0.999699      0.99974805      0.99944736
      2.53000     0.999700      0.99974805      0.99944784
      2.53050     0.999699      0.99974662      0.99944617
      2.53100     0.999700      0.99974525      0.99944534
      2.53150     0.999699      0.99974382      0.99944337
      2.53200     0.999700      0.99974245      0.99944254
      2.53250     0.999700      0.99974102      0.99944128
      2.53300     0.999700      0.99973965      0.99943985
      2.53350     0.999701      0.99973822      0.99943914
      2.53400     0.999701      0.99973685      0.99943765
      2.53450     0.999701      0.99973541      0.99943634
      2.53500     0.999700      0.99973404      0.99943437
      2.53550     0.999701      0.99973261      0.99943378
      2.53600     0.999701      0.99973124      0.99943276
      2.53650     0.999700      0.99972981      0.99943014
      2.53700     0.999701      0.99972844      0.99942949
      2.53750     0.999701      0.99972701      0.99942829
      2.53800     0.999702      0.99972564      0.99942812
      2.53850     0.999700      0.99972421      0.99942478
      2.53900     0.999701      0.99972284      0.99942418
      2.53950     0.999702      0.99972147      0.99942323
      2.54000     0.999703      0.99972004      0.99942275
      2.54050     0.999701      0.99972147      0.99942287
      2.54100     0.999701      0.99972284      0.99942430
      2.54150     0.999703      0.99972421      0.99942704
      2.54200     0.999702      0.99972564      0.99942740
      2.54250     0.999702      0.99972701      0.99942937
      2.54300     0.999702      0.99972844      0.99943056
      2.54350     0.999702      0.99972981      0.99943193
      2.54400     0.999703      0.99973124      0.99943384
      2.54450     0.999703      0.99973261      0.99943592
      2.54500     0.999703      0.99973404      0.99943705
      2.54550     0.999702      0.99973541      0.99943759
      2.54600     0.999704      0.99973685      0.99944057
      2.54650     0.999704      0.99973822      0.99944277
      2.54700     0.999704      0.99973965      0.99944420
      2.54750     0.999705      0.99974102      0.99944629
      2.54800     0.999704      0.99974245      0.99944700
      2.54850     0.999704      0.99974382      0.99944766
      2.54900     0.999704      0.99974525      0.99944969
      2.54950     0.999704      0.99974662      0.99945118
      2.55000     0.999703      0.99974805      0.99945147
      2.55050     0.999704      0.99974805      0.99945177
      2.55100     0.999704      0.99974805      0.99945207
      2.55150     0.999705      0.99974805      0.99945272
      2.55200     0.999705      0.99974805      0.99945284
      2.55250     0.999705      0.99974805      0.99945332
      2.55300     0.999705      0.99974805      0.99945326
      2.55350     0.999705      0.99974805      0.99945296
      2.55400     0.999705      0.99974805      0.99945356
      2.55450     0.999706      0.99974805      0.99945392
      2.55500     0.999706      0.99974805      0.99945416
      2.55550     0.999706      0.99974805      0.99945368
      2.55600     0.999705      0.99974805      0.99945344
      2.55650     0.999705      0.99974805      0.99945332
      2.55700     0.999705      0.99974805      0.99945320
      2.55750     0.999707      0.99974805      0.99945475
      2.55800     0.999705      0.99974805      0.99945320
      2.55850     0.999707      0.99974805      0.99945463
      2.55900     0.999707      0.99974805      0.99945541
      2.55950     0.999707      0.99974805      0.99945505
      2.56000     0.999707      0.99974805      0.99945535
      2.56050     0.999708      0.99974805      0.99945594
      2.56100     0.999707      0.99974805      0.99945463
      2.56150     0.999707      0.99974805      0.99945541
      2.56200     0.999707      0.99974805      0.99945547
      2.56250     0.999709      0.99974805      0.99945690
      2.56300     0.999708      0.99974805      0.99945612
      2.56350     0.999707      0.99974805      0.99945535
      2.56400     0.999707      0.99974805      0.99945547
      2.56450     0.999709      0.99974805      0.99945666
      2.56500     0.999709      0.99974805      0.99945719
      2.56550     0.999708      0.99974805      0.99945576
      2.56600     0.999709      0.99974805      0.99945690
      2.56650     0.999709      0.99974805      0.99945678
      2.56700     0.999708      0.99974805      0.99945576
      2.56750     0.999708      0.99974805      0.99945630
      2.56800     0.999708      0.99974805      0.99945642
      2.56850     0.999709      0.99974805      0.99945737
      2.56900     0.999708      0.99974805      0.99945624
      2.56950     0.999709      0.99974805      0.99945672
      2.57000     0.999709      0.99974805      0.99945690
      2.57050     0.999708      0.99974805      0.99945642
      2.57100     0.999709      0.99974805      0.99945672
      2.57150     0.999709      0.99974805      0.99945737
      2.57200     0.999709      0.99974805      0.99945678
      2.57250     0.999709      0.99974805      0.99945743
      2.57300     0.999710      0.99974805      0.99945767
      2.57350     0.999710      0.99974805      0.99945856
      2.57400     0.999709      0.99974805      0.99945678
      2.57450     0.999709      0.99974805      0.99945737
      2.57500     0.999710      0.99974805      0.99945773
      2.57550     0.999708      0.99974805      0.99945654
      2.57600     0.999709      0.99974805      0.99945743
      2.57650     0.999710      0.99974805      0.99945779
      2.57700     0.999709      0.99974805      0.99945666
      2.57750     0.999709      0.99974805      0.99945713
      2.57800     0.999709      0.99974805      0.99945761
      2.57850     0.999710      0.99974805      0.99945803
      2.57900     0.999709      0.99974805      0.99945666
      2.57950     0.999710      0.99974805      0.99945779
      2.58000     0.999710      0.99974805      0.99945856
      2.58050     0.999710      0.99974805      0.99945833
      2.58100     0.999710      0.99974805      0.99945785
      2.58150     0.999710      0.99974805      0.99945797
      2.58200     0.999710      0.99974805      0.99945767
      2.58250     0.999711      0.99974805      0.99945874
      2.58300     0.999709      0.99974805      0.99945731
      2.58350     0.999709      0.99974805      0.99945761
      2.58400     0.999710      0.99974805      0.99945821
      2.58450     0.999710      0.99974805      0.99945821
      2.58500     0.999711      0.99974805      0.99945862
      2.58550     0.999710      0.99974805      0.99945785
      2.58600     0.999709      0.99974805      0.99945761
      2.58650     0.999712      0.99974805      0.99946023
      2.58700     0.999711      0.99974805      0.99945892
      2.58750     0.999711      0.99974805      0.99945886
      2.58800     0.999711      0.99974805      0.99945922
      2.58850     0.999711      0.99974805      0.99945898
      2.58900     0.999710      0.99974805      0.99945839
      2.58950     0.999712      0.99974805      0.99945982
      2.59000     0.999710      0.99974805      0.99945856
      2.59050     0.999711      0.99974805      0.99945952
      2.59100     0.999711      0.99974805      0.99945874
      2.59150     0.999711      0.99974805      0.99945940
      2.59200     0.999711      0.99974805      0.99945922
      2.59250     0.999712      0.99974805      0.99945970
      2.59300     0.999712      0.99974805      0.99945964
      2.59350     0.999712      0.99974805      0.99945970
      2.59400     0.999711      0.99974805      0.99945940
      2.59450     0.999713      0.99974805      0.99946071
      2.59500     0.999713      0.99974805      0.99946083
      2.59550     0.999713      0.99974805      0.99946083
      2.59600     0.999712      0.99974805      0.99946029
      2.59650     0.999713      0.99974805      0.99946065
      2.59700     0.999713      0.99974805      0.99946083
      2.59750     0.999712      0.99974805      0.99946029
      2.59800     0.999713      0.99974805      0.99946077
      2.59850     0.999712      0.99974805      0.99946029
      2.59900     0.999714      0.99974805      0.99946184
      2.59950     0.999713      0.99974805      0.99946119
      2.60000     0.999714      0.99974805      0.99946208
      2.60050     0.999713      0.99974805      0.99946148
      2.60100     0.999713      0.99974805      0.99946143
      2.60150     0.999714      0.99974805      0.99946208
      2.60200     0.999714      0.99974805      0.99946196
      2.60250     0.999715      0.99974805      0.99946315
      2.60300     0.999713      0.99974805      0.99946154
      2.60350     0.999714      0.99974805      0.99946244
      2.60400     0.999713      0.99974805      0.99946137
      2.60450     0.999714      0.99974805      0.99946196
      2.60500     0.999714      0.99974805      0.99946184
      2.60550     0.999715      0.99974805      0.99946286
