Test Spectra from Irwin et al. (2014), The Transit Spectra of Earth and Jupiter, Icarus
Column 1: Wavelength (in microns)
Column 2: 100*Ap/Astar (Earth-Sun Primary Transit)
Column 3: 100*Ap/Astar (Earth-Mdwarf Primary Transit)
Column 4: 100*Ap/Astar (Jupiter-Sun Primary Transit)
Column 5: Fp/Astar (Earth-Sun Secondary Eclipse)
Column 6: Disc-averaged radiance of Earth (W cm-2 sr-1 micron-1)
Column 7: Fp/Astar (Jupiter-Sun Secondary Eclipse)
Column 8: Disc-averaged radiance of Jupiter (W cm-2 sr-1 micron-1)
Column 9: Solar spectral irradiance spectrum (W micron-1)
           (Solar Radius = 695500.0 km)
Column 10: Mdwarf spectral irradiance spectrum (W micron-1)
           (Mdwarf Radius = 97995.0 km)
     Column 1     Column 2     Column 3     Column 4     Column 5     Column 6     Column 7     Column 8     Column 9    Column 10
      1.05600   0.00842246     0.424250      1.05921  3.92987e-11  0.000445201  2.52895e-09  0.000228048  1.81954e+26  6.54323e+23
      1.07200   0.00842245     0.424249      1.05921  3.82924e-11  0.000416694  2.61046e-09  0.000226097  1.74765e+26  6.47435e+23
      1.08800   0.00842242     0.424248      1.05922  3.63062e-11  0.000379554  2.58346e-09  0.000214965  1.67896e+26  6.27133e+23
      1.10400   0.00842251     0.424253      1.05933  2.81370e-11  0.000285094  2.08844e-09  0.000168424  1.62726e+26  5.98764e+23
      1.12000   0.00842296     0.424275      1.05977  1.68463e-11  0.000166009  8.50690e-10  6.67223e-05  1.58261e+26  5.72235e+23
      1.13600   0.00842311     0.424282      1.06033  1.42489e-11  0.000136358  1.58233e-10  1.20522e-05  1.53690e+26  5.56618e+23
      1.15200   0.00842274     0.424264      1.06073  1.92166e-11  0.000178520  7.50723e-11  5.55087e-06  1.49195e+26  5.45496e+23
      1.16800   0.00842245     0.424250      1.06080  2.66469e-11  0.000240238  6.26338e-11  4.49446e-06  1.44791e+26  5.38983e+23
      1.18400   0.00842260     0.424257      1.06042  3.09904e-11  0.000270447  2.00510e-10  1.39272e-05  1.40153e+26  5.31023e+23
      1.20000   0.00842419     0.424337      1.05981  3.14439e-11  0.000266622  7.62367e-10  5.14513e-05  1.36178e+26  5.29756e+23
      1.21600   0.00842266     0.424260      1.05938  3.35229e-11  0.000277324  1.64701e-09  0.000108446  1.32859e+26  5.30883e+23
      1.23200   0.00842192     0.424223      1.05928  3.59751e-11  0.000290646  2.06847e-09  0.000133010  1.29751e+26  5.29361e+23
      1.24800   0.00842220     0.424237      1.05924  3.55518e-11  0.000279187  2.40286e-09  0.000150188  1.26119e+26  5.24731e+23
      1.26400   0.00842377     0.424315      1.05922  3.34918e-11  0.000254452  2.59309e-09  0.000156804  1.22015e+26  5.19537e+23
      1.28000   0.00842300     0.424277      1.05922  3.30650e-11  0.000243671  2.58551e-09  0.000151654  1.18354e+26  5.14447e+23
      1.29600   0.00842160     0.424207      1.05925  3.17689e-11  0.000227482  2.34299e-09  0.000133533  1.14998e+26  5.04474e+23
      1.31200   0.00842160     0.424207      1.05947  2.70350e-11  0.000189025  1.45541e-09  8.09935e-05  1.12290e+26  4.77039e+23
      1.32800   0.00842170     0.424212      1.05982  2.04646e-11  0.000139341  6.08620e-10  3.29833e-05  1.09351e+26  4.17582e+23
      1.34400   0.00842290     0.424271      1.06019  1.26102e-11  8.35710e-05  2.12458e-10  1.12067e-05  1.06434e+26  3.59054e+23
      1.36000   0.00842527     0.424390      1.06048  5.36122e-12  3.45851e-05  6.59317e-11  3.38526e-06  1.03603e+26  3.22191e+23
      1.37600   0.00842605     0.424429      1.06059  3.70925e-12  2.32949e-05  4.24399e-11  2.12139e-06  1.00860e+26  3.09788e+23
      1.39200   0.00842534     0.424394      1.06067  4.19084e-12  2.56127e-05  3.66782e-11  1.78416e-06  9.81524e+25  2.96670e+23
      1.40800   0.00842429     0.424341      1.06050  4.97501e-12  2.95245e-05  7.05683e-11  3.33326e-06  9.53092e+25  2.78871e+23
      1.42400   0.00842413     0.424333      1.06012  6.37430e-12  3.66997e-05  2.33344e-10  1.06930e-05  9.24648e+25  2.66938e+23
      1.44000   0.00842394     0.424323      1.05981  8.19517e-12  4.58591e-05  5.13134e-10  2.28544e-05  8.98698e+25  2.60051e+23
      1.45600   0.00842211     0.424232      1.05961  1.04867e-11  5.71243e-05  8.05148e-10  3.49084e-05  8.74840e+25  2.55894e+23
      1.47200   0.00842125     0.424189      1.05948  1.20145e-11  6.37047e-05  1.13668e-09  4.79704e-05  8.51553e+25  2.52526e+23
      1.48800   0.00842075     0.424164      1.05933  1.71600e-11  8.85165e-05  1.50240e-09  6.16828e-05  8.28426e+25  2.50807e+23
      1.50400   0.00842029     0.424141      1.05924  2.56334e-11  0.000129098  1.72653e-09  6.92089e-05  8.08839e+25  2.51638e+23
      1.52000   0.00842017     0.424135      1.05923  3.12772e-11  0.000154052  1.89279e-09  7.42017e-05  7.91019e+25  2.52760e+23
      1.53600   0.00842016     0.424134      1.05921  3.22636e-11  0.000155394  2.20638e-09  8.45813e-05  7.73513e+25  2.53645e+23
      1.55200   0.00842008     0.424130      1.05919  3.32631e-11  0.000155758  2.53452e-09  9.44616e-05  7.52028e+25  2.54907e+23
      1.56800   0.00842072     0.424162      1.05919  3.23186e-11  0.000146515  2.67014e-09  9.63465e-05  7.28074e+25  2.57167e+23
      1.58400   0.00842069     0.424160      1.05918  3.26939e-11  0.000143820  2.70741e-09  9.47940e-05  7.06482e+25  2.60098e+23
      1.60000   0.00842074     0.424163      1.05920  3.30336e-11  0.000141420  2.64916e-09  9.02685e-05  6.87548e+25  2.62848e+23
      1.61600   0.00842036     0.424144      1.05942  3.29137e-11  0.000137540  1.83650e-09  6.10821e-05  6.71118e+25  2.65917e+23
      1.63200   0.00841960     0.424106      1.05993  3.38497e-11  0.000137934  6.13849e-10  1.99091e-05  6.54433e+25  2.69522e+23
      1.64800   0.00841959     0.424105      1.06025  3.36258e-11  0.000133195  1.65171e-10  5.20740e-06  6.36155e+25  2.73211e+23
      1.66400   0.00841932     0.424092      1.06035  3.29411e-11  0.000126315  1.07255e-10  3.27346e-06  6.15834e+25  2.74608e+23
      1.68000   0.00841905     0.424078      1.06029  3.23696e-11  0.000120601  1.36584e-10  4.05028e-06  5.98357e+25  2.70838e+23
      1.69600   0.00841903     0.424077      1.06051  3.22200e-11  0.000116081  9.97779e-11  2.86117e-06  5.78608e+25  2.59562e+23
      1.71200   0.00841905     0.424078      1.06075  3.20987e-11  0.000111724  3.77790e-11  1.04660e-06  5.58992e+25  2.43759e+23
      1.72800   0.00841885     0.424068      1.06063  3.00043e-11  0.000101036  6.50607e-11  1.74375e-06  5.40803e+25  2.25248e+23
      1.74400   0.00841857     0.424054      1.06036  2.81335e-11  9.17652e-05  1.33249e-10  3.45933e-06  5.23843e+25  2.07185e+23
      1.76000   0.00841843     0.424047      1.06031  2.62549e-11  8.31649e-05  1.15561e-10  2.91348e-06  5.08717e+25  1.91013e+23
      1.77600   0.00841848     0.424049      1.06044  2.04514e-11  6.31177e-05  7.13999e-11  1.75388e-06  4.95651e+25  1.77101e+23
      1.79200   0.00841872     0.424061      1.06037  1.41454e-11  4.22343e-05  1.03422e-10  2.45774e-06  4.79509e+25  1.66087e+23
      1.80800   0.00841974     0.424112      1.06004  7.67520e-12  2.21534e-05  2.67000e-10  6.13385e-06  4.63551e+25  1.58074e+23
      1.82400   0.00842158     0.424205      1.05981  4.12903e-12  1.15284e-05  4.66310e-10  1.03626e-05  4.48401e+25  1.50977e+23
      1.84000   0.00842317     0.424284      1.05975  3.08892e-12  8.32441e-06  4.75292e-10  1.01948e-05  4.32807e+25  1.44701e+23
      1.85600   0.00842351     0.424301      1.05960  2.85707e-12  7.44490e-06  7.23138e-10  1.49979e-05  4.18490e+25  1.40231e+23
      1.87200   0.00842346     0.424299      1.05934  2.98934e-12  7.54581e-06  1.38663e-09  2.78588e-05  4.05394e+25  1.37084e+23
      1.88800   0.00842219     0.424235      1.05923  3.28650e-12  8.05005e-06  1.67267e-09  3.26097e-05  3.93379e+25  1.36021e+23
      1.90400   0.00842183     0.424217      1.05928  3.21907e-12  7.66034e-06  1.39812e-09  2.64811e-05  3.82178e+25  1.35914e+23
      1.92000   0.00842111     0.424181      1.05933  3.64784e-12  8.43715e-06  1.04586e-09  1.92533e-05  3.71456e+25  1.35081e+23
      1.93600   0.00842159     0.424205      1.05929  4.74763e-12  1.06755e-05  9.49639e-10  1.69958e-05  3.61125e+25  1.33389e+23
      1.95200   0.00842693     0.424472      1.05922  5.99325e-12  1.30802e-05  9.20137e-10  1.59837e-05  3.50508e+25  1.30643e+23
      1.96800   0.00842617     0.424434      1.05918  1.01591e-11  2.15608e-05  8.97278e-10  1.51569e-05  3.40846e+25  1.27392e+23
      1.98400   0.00842167     0.424209      1.05915  1.53673e-11  3.18899e-05  8.76091e-10  1.44703e-05  3.33274e+25  1.24060e+23
      2.00000   0.00843026     0.424638      1.05913  1.16881e-11  2.36462e-05  8.19788e-10  1.32005e-05  3.24910e+25  1.20814e+23
