# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:55:06 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6730 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Neptune '           /                                                
# SPTYPE  = 'plnt    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2000 Jun 30'        / UT date of SXD observations                    
# LXDUT   = '2007 Jun 30'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806391 / Minimum wavelength (um)                        
# MAXWAVE =              4.12500 / Maximum wavelength (um)                        
# V       =                    0 / V magnitude                                    
# VERR    =                    0 / V magnitude error                              
# (B-V)   =                    0 / B-V color                                      
# (B-V)ERR=                    0 / B-V color error                                
# J       =                    0 / 2MASS J magnitude                              
# JERR    =                    0 / 2MASS J magnitude error                        
# H       =                    0 / 2MASS H magnitude                              
# HERR    =                    0 / 2MASS H magnitude error                        
# KS      =                    0 / 2MASS Ks magnitude                             
# KSERR   =                    0 / 2MASS Ks magnitude error                       
# QFLAG   =                    0 / 2MASS quality flag                             
# FCBANDS =                    0 / 2MASS bands used for absolute flux calibration 
# ABSFERR =                    0 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.826315                2.41392e-12         6.52785e-15
             0.826548                2.43450e-12         6.38265e-15
             0.826781                2.47702e-12         6.26305e-15
             0.827013                2.47994e-12         6.05927e-15
             0.827246                2.43767e-12         6.09126e-15
             0.827479                2.44487e-12         6.34058e-15
             0.827712                2.54149e-12         6.58640e-15
             0.827945                2.62443e-12         6.78302e-15
             0.828177                2.70531e-12         6.67186e-15
             0.828410                2.81549e-12         6.67632e-15
             0.828643                2.89798e-12         6.66664e-15
             0.828876                2.93494e-12         6.76841e-15
             0.829108                2.98565e-12         7.09991e-15
             0.829341                3.03819e-12         7.38714e-15
             0.829574                3.13081e-12         7.36570e-15
             0.829807                3.26130e-12         7.37409e-15
             0.830039                3.30566e-12         7.21809e-15
             0.830272                3.39412e-12         7.57156e-15
             0.830505                3.40155e-12         7.54875e-15
             0.830738                3.37942e-12         7.70301e-15
             0.830970                3.42757e-12         7.92597e-15
             0.831203                3.43943e-12         7.62415e-15
             0.831436                3.51306e-12         7.68176e-15
             0.831668                3.57083e-12         7.55829e-15
             0.831901                3.49187e-12         7.47975e-15
             0.832134                3.42907e-12         7.58789e-15
             0.832366                3.35843e-12         7.76289e-15
             0.832599                3.17026e-12         7.36964e-15
             0.832832                2.94482e-12         6.77354e-15
             0.833064                2.87591e-12         6.54725e-15
             0.833297                2.71270e-12         6.31009e-15
             0.833530                2.39365e-12         5.94219e-15
             0.833762                2.21660e-12         5.82465e-15
             0.833995                2.15269e-12         5.86666e-15
             0.834227                2.00990e-12         5.50609e-15
             0.834460                1.82841e-12         5.07057e-15
             0.834693                1.65820e-12         4.81670e-15
             0.834925                1.47215e-12         4.53837e-15
             0.835158                1.34014e-12         4.41652e-15
             0.835390                1.34726e-12         4.50879e-15
             0.835623                1.23628e-12         4.36259e-15
             0.835855                1.05000e-12         4.02586e-15
             0.836088                1.06489e-12         3.99565e-15
             0.836321                1.08939e-12         3.96637e-15
             0.836553                9.60609e-13         3.83684e-15
             0.836786                8.77757e-13         3.75865e-15
             0.837018                9.47763e-13         3.92020e-15
             0.837251                9.07498e-13         3.81724e-15
             0.837483                7.96372e-13         3.61856e-15
             0.837716                8.31618e-13         3.59584e-15
             0.837948                8.50225e-13         3.63312e-15
             0.838181                7.26733e-13         3.47331e-15
             0.838413                6.67573e-13         3.52176e-15
             0.838646                6.66217e-13         3.51295e-15
             0.838878                6.41205e-13         3.45953e-15
             0.839111                6.46338e-13         3.35028e-15
             0.839343                7.25507e-13         3.42797e-15
             0.839576                7.29776e-13         3.44259e-15
             0.839808                7.22731e-13         3.48679e-15
             0.840041                7.40353e-13         3.51585e-15
             0.840273                7.09693e-13         3.47759e-15
             0.840506                6.70605e-13         3.35722e-15
             0.840738                6.77351e-13         3.37289e-15
             0.840970                6.67205e-13         3.29442e-15
             0.841203                6.08053e-13         3.26492e-15
             0.841435                5.95538e-13         3.26048e-15
             0.841668                6.16767e-13         3.33916e-15
             0.841900                6.11270e-13         3.27766e-15
             0.842132                6.02842e-13         3.23427e-15
             0.842365                6.47291e-13         3.30939e-15
             0.842597                7.34356e-13         3.33324e-15
             0.842830                7.90047e-13         3.42140e-15
             0.843062                7.97468e-13         3.50584e-15
             0.843294                7.79536e-13         3.48246e-15
             0.843527                7.52300e-13         3.41743e-15
             0.843759                7.35430e-13         3.34380e-15
             0.843991                6.95348e-13         3.32619e-15
             0.844224                6.67973e-13         3.24206e-15
             0.844456                6.93911e-13         3.30823e-15
             0.844688                7.21302e-13         3.41113e-15
             0.844921                7.68008e-13         3.50844e-15
             0.845153                7.88010e-13         3.39766e-15
             0.845385                8.47906e-13         3.40723e-15
             0.845618                8.82584e-13         3.45419e-15
             0.845850                8.81976e-13         3.46575e-15
             0.846082                9.66514e-13         3.66817e-15
             0.846315                9.90056e-13         3.72175e-15
             0.846547                9.28540e-13         3.59285e-15
             0.846779                9.27279e-13         3.56628e-15
             0.847012                9.43187e-13         3.54444e-15
             0.847244                9.24960e-13         3.53020e-15
             0.847476                8.62373e-13         3.41790e-15
             0.847708                9.00998e-13         3.53015e-15
             0.847941                9.66472e-13         3.60951e-15
             0.848173                9.20278e-13         3.48875e-15
             0.848405                8.75004e-13         3.36302e-15
             0.848637                9.32060e-13         3.46155e-15
             0.848870                1.02550e-12         3.67517e-15
             0.849102                1.05748e-12         3.66720e-15
             0.849334                1.04911e-12         3.67643e-15
             0.849566                1.05089e-12         3.70265e-15
             0.849798                9.34970e-13         3.52984e-15
             0.850031                8.00102e-13         3.32140e-15
             0.850263                8.25487e-13         3.31637e-15
             0.850495                9.20538e-13         3.45894e-15
             0.850727                9.78629e-13         3.54008e-15
             0.850959                9.32123e-13         3.50586e-15
             0.851192                8.70459e-13         3.36233e-15
             0.851424                8.33122e-13         3.27382e-15
             0.851656                8.45008e-13         3.28069e-15
             0.851888                8.61196e-13         3.26360e-15
             0.852120                8.27686e-13         3.23356e-15
             0.852352                7.73726e-13         3.18183e-15
             0.852584                7.63204e-13         3.17631e-15
             0.852817                7.62803e-13         3.14524e-15
             0.853049                7.32408e-13         3.05291e-15
             0.853281                6.87196e-13         3.01723e-15
             0.853513                6.62740e-13         3.00607e-15
             0.853745                6.22457e-13         2.99180e-15
             0.853977                5.75059e-13         2.93074e-15
             0.854209                4.84270e-13         2.85594e-15
             0.854441                4.29124e-13         2.75791e-15
             0.854673                4.74810e-13         2.76206e-15
             0.854905                5.32067e-13         2.77917e-15
             0.855138                5.63051e-13         2.82909e-15
             0.855370                5.92835e-13         2.86536e-15
             0.855602                5.88885e-13         2.87719e-15
             0.855834                5.66165e-13         2.82142e-15
             0.856066                5.44621e-13         2.77381e-15
             0.856298                5.38595e-13         2.73200e-15
             0.856530                5.53288e-13         2.76048e-15
             0.856762                5.39248e-13         2.72594e-15
             0.856994                5.31331e-13         2.76495e-15
             0.857226                5.12250e-13         2.71768e-15
             0.857458                5.02964e-13         2.67743e-15
             0.857690                5.00102e-13         2.68117e-15
             0.857922                4.86840e-13         2.65194e-15
             0.858154                4.81634e-13         2.62939e-15
             0.858386                4.67177e-13         2.62791e-15
             0.858618                4.66629e-13         2.62580e-15
             0.858850                4.73378e-13         2.66532e-15
             0.859082                4.72194e-13         2.65023e-15
             0.859314                4.51595e-13         2.58498e-15
             0.859546                4.56042e-13         2.56039e-15
             0.859778                4.51885e-13         2.56644e-15
             0.860010                4.38689e-13         2.54450e-15
             0.860242                4.33236e-13         2.56125e-15
             0.860474                4.32418e-13         2.53067e-15
             0.860706                4.34327e-13         2.53378e-15
             0.860938                4.32121e-13         2.53644e-15
             0.861170                4.26956e-13         2.51652e-15
             0.861402                4.16689e-13         2.48646e-15
             0.861634                4.01625e-13         2.49463e-15
             0.861865                4.01926e-13         2.48301e-15
             0.862097                3.94004e-13         2.45596e-15
             0.862329                3.86631e-13         2.39885e-15
             0.862561                3.90501e-13         2.41237e-15
             0.862793                3.91630e-13         2.40322e-15
             0.863025                3.96317e-13         2.44223e-15
             0.863257                3.90252e-13         2.41028e-15
             0.863489                3.89039e-13         2.41952e-15
             0.863721                3.72839e-13         2.37555e-15
             0.863953                3.67617e-13         2.37874e-15
             0.864184                3.77203e-13         2.36958e-15
             0.864416                3.82687e-13         2.41337e-15
             0.864648                3.79271e-13         2.39346e-15
             0.864880                3.69143e-13         2.41096e-15
             0.865112                3.65441e-13         2.39088e-15
             0.865344                3.60154e-13         2.39133e-15
             0.865575                3.55574e-13         2.34444e-15
             0.865807                3.71982e-13         2.37488e-15
             0.866039                3.57080e-13         2.34028e-15
             0.866271                2.88324e-13         2.27888e-15
             0.866503                2.73553e-13         2.23932e-15
             0.866735                3.22044e-13         2.30498e-15
             0.866966                3.59277e-13         2.34574e-15
             0.867198                3.69665e-13         2.36976e-15
             0.867430                3.85095e-13         2.35487e-15
             0.867662                3.97529e-13         2.38868e-15
             0.867894                4.10744e-13         2.36751e-15
             0.868125                4.21121e-13         2.42814e-15
             0.868357                4.24136e-13         2.39962e-15
             0.868589                4.23438e-13         2.38245e-15
             0.868821                4.24401e-13         2.37823e-15
             0.869052                4.27375e-13         2.38616e-15
             0.869284                4.37159e-13         2.38164e-15
             0.869516                4.47305e-13         2.43792e-15
             0.869748                4.60450e-13         2.44045e-15
             0.869979                4.60585e-13         2.43830e-15
             0.870211                4.60531e-13         2.41486e-15
             0.870443                4.64936e-13         2.42556e-15
             0.870675                4.73506e-13         2.41611e-15
             0.870906                4.85750e-13         2.43253e-15
             0.871138                4.83265e-13         2.43705e-15
             0.871370                4.72975e-13         2.46121e-15
             0.871602                4.89233e-13         2.43524e-15
             0.871833                5.01478e-13         2.49180e-15
             0.872065                5.14959e-13         2.48553e-15
             0.872297                5.19468e-13         2.50604e-15
             0.872528                5.22645e-13         2.50093e-15
             0.872760                5.05618e-13         2.48425e-15
             0.872992                5.11365e-13         2.48307e-15
             0.873223                5.29993e-13         2.54736e-15
             0.873455                5.42449e-13         2.51271e-15
             0.873687                5.19877e-13         2.50283e-15
             0.873918                5.01677e-13         2.46532e-15
             0.874150                5.07680e-13         2.48250e-15
             0.874382                4.96608e-13         2.45131e-15
             0.874613                5.08478e-13         2.46806e-15
             0.874845                5.25164e-13         2.47956e-15
             0.875077                5.32413e-13         2.51981e-15
