# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:55:02 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7659 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Saturn  '           /                                                
# SPTYPE  = 'plnt    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 May 01'        / UT date of SXD observations                    
# LXDUT   = '2007 May 03'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.800000 / Minimum wavelength (um)                        
# MAXWAVE =              5.02130 / Maximum wavelength (um)                        
# V       =                    0 / V magnitude                                    
# VERR    =                    0 / V magnitude error                              
# (B-V)   =                    0 / B-V color                                      
# (B-V)ERR=                    0 / B-V color error                                
# J       =                    0 / 2MASS J magnitude                              
# JERR    =                    0 / 2MASS J magnitude error                        
# H       =                    0 / 2MASS H magnitude                              
# HERR    =                    0 / 2MASS H magnitude error                        
# KS      =                    0 / 2MASS Ks magnitude                             
# KSERR   =                    0 / 2MASS Ks magnitude error                       
# QFLAG   =                    0 / 2MASS quality flag                             
# FCBANDS =                    0 / 2MASS bands used for absolute flux calibration 
# ABSFERR =                    0 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.819905                6.68145e-10         4.64011e-13
             0.820138                6.89670e-10         5.00836e-13
             0.820371                6.98319e-10         4.84538e-13
             0.820604                7.12354e-10         4.69333e-13
             0.820837                7.13509e-10         4.63038e-13
             0.821070                7.06062e-10         4.61271e-13
             0.821303                7.03532e-10         4.70941e-13
             0.821536                6.94035e-10         4.85049e-13
             0.821769                6.96738e-10         4.89234e-13
             0.822002                7.10643e-10         4.78951e-13
             0.822235                6.94904e-10         4.54550e-13
             0.822468                6.97879e-10         4.50897e-13
             0.822701                7.23533e-10         4.75989e-13
             0.822933                7.28746e-10         5.08062e-13
             0.823166                7.23466e-10         5.25961e-13
             0.823399                7.14018e-10         4.93568e-13
             0.823632                7.13421e-10         4.71831e-13
             0.823865                7.19926e-10         4.63739e-13
             0.824098                7.17920e-10         4.59756e-13
             0.824331                7.17850e-10         4.71672e-13
             0.824564                7.22214e-10         4.92341e-13
             0.824797                7.19549e-10         4.96587e-13
             0.825029                7.06982e-10         4.67741e-13
             0.825262                7.03764e-10         4.55855e-13
             0.825495                7.16381e-10         4.55152e-13
             0.825728                7.16117e-10         4.62182e-13
             0.825961                7.16067e-10         4.75402e-13
             0.826194                7.20022e-10         4.95748e-13
             0.826426                7.21816e-10         4.87270e-13
             0.826659                7.18897e-10         4.66129e-13
             0.826892                7.18789e-10         4.56820e-13
             0.827125                7.19368e-10         4.55697e-13
             0.827358                7.17073e-10         4.62703e-13
             0.827590                7.12892e-10         4.78146e-13
             0.827823                7.13276e-10         4.89397e-13
             0.828056                7.20362e-10         4.78571e-13
             0.828289                7.26905e-10         4.70295e-13
             0.828521                7.25916e-10         4.60784e-13
             0.828754                7.25317e-10         4.60835e-13
             0.828987                7.22720e-10         4.74012e-13
             0.829220                7.16254e-10         4.86130e-13
             0.829452                7.21771e-10         4.85524e-13
             0.829685                7.18194e-10         4.68038e-13
             0.829918                7.22216e-10         4.58148e-13
             0.830151                7.19827e-10         4.57148e-13
             0.830383                7.29543e-10         4.67515e-13
             0.830616                7.25185e-10         4.79454e-13
             0.830849                7.17172e-10         4.90468e-13
             0.831081                7.17664e-10         4.72794e-13
             0.831314                7.13911e-10         4.59467e-13
             0.831547                7.22103e-10         4.55123e-13
             0.831779                7.28253e-10         4.61885e-13
             0.832012                7.28517e-10         4.68795e-13
             0.832245                7.26810e-10         4.84859e-13
             0.832477                7.23007e-10         4.92677e-13
             0.832710                7.14019e-10         4.66759e-13
             0.832943                6.92633e-10         4.39120e-13
             0.833175                6.93621e-10         4.36053e-13
             0.833408                6.88676e-10         4.36189e-13
             0.833640                6.76046e-10         4.40019e-13
             0.833873                6.74859e-10         4.50257e-13
             0.834106                6.75367e-10         4.46606e-13
             0.834338                6.73136e-10         4.31076e-13
             0.834571                6.71630e-10         4.24774e-13
             0.834803                6.54408e-10         4.10389e-13
             0.835036                6.39147e-10         4.08880e-13
             0.835269                6.39244e-10         4.15601e-13
             0.835501                6.48506e-10         4.32730e-13
             0.835734                6.37266e-10         4.12001e-13
             0.835966                6.06107e-10         3.86490e-13
             0.836199                6.05509e-10         3.80990e-13
             0.836431                6.10812e-10         3.86893e-13
             0.836664                5.76613e-10         3.70364e-13
             0.836896                5.60427e-10         3.68350e-13
             0.837129                5.87382e-10         3.87729e-13
             0.837361                5.77233e-10         3.70490e-13
             0.837594                5.41098e-10         3.41999e-13
             0.837826                5.55117e-10         3.50807e-13
             0.838059                5.66018e-10         3.59596e-13
             0.838291                5.13654e-10         3.38351e-13
             0.838524                4.78206e-10         3.20031e-13
             0.838756                4.79719e-10         3.17209e-13
             0.838989                4.64409e-10         2.99231e-13
             0.839221                4.64091e-10         2.96733e-13
             0.839454                5.12301e-10         3.25759e-13
             0.839686                5.29054e-10         3.38654e-13
             0.839919                5.24201e-10         3.41912e-13
             0.840151                5.39166e-10         3.57509e-13
             0.840383                5.29967e-10         3.40542e-13
             0.840616                5.02954e-10         3.19084e-13
             0.840848                5.05212e-10         3.22124e-13
             0.841081                4.94168e-10         3.14890e-13
             0.841313                4.40201e-10         2.86241e-13
             0.841545                4.32141e-10         2.88625e-13
             0.841778                4.51617e-10         2.99879e-13
             0.842010                4.41346e-10         2.86766e-13
             0.842243                4.38161e-10         2.79442e-13
             0.842475                4.79671e-10         3.02673e-13
             0.842707                5.32839e-10         3.35160e-13
