4.11	0.006
4.12	0.006
4.13	0.006
4.14	0.009
4.15	0.006
4.16	0.006
4.17	0.006
4.18	0.006
4.19	0.006
4.2	0.006
4.21	0.006
4.22	0.006
4.23	0.009
4.24	0.009
4.25	0.009
4.26	0.009
4.27	0.056
4.28	0.135
4.29	0.012
4.3	0.006
4.31	0.006
4.32	0.006
4.33	0.006
4.34	0.006
4.35	0.006
4.36	0.006
4.37	0.006
4.38	0.006
4.39	0.006
4.4	0.009
4.41	0.006
4.42	0.009
4.43	0.009
4.44	0.008
4.45	0.008
4.46	0.008
4.47	0.008
4.48	0.008
4.49	0.008
4.5	0.008
4.51	0.008
4.52	0.008
4.53	0.008
4.54	0.006
4.55	0.006
4.56	0.006
4.57	0.005
4.58	0.005
4.59	0.005
4.6	0.005
4.61	0.005
4.62	0.003
4.63	0.003
4.64	0.003
4.65	0.003
4.66	0.003
4.67	0.003
4.68	0.003
4.69	0.003
4.7	0.003
4.71	0.003
4.72	0.000
4.73	0.000
4.74	0.000
4.75	0.000
4.76	0.000
4.77	0.000
4.78	0.000
4.79	0.000
4.8	0.000
4.81	0.000
4.82	0.000
4.83	0.000
4.84	0.000
4.85	0.000
4.86	0.000
4.87	0.000
4.88	0.000
4.89	0.000
4.9	0.000
4.91	0.000
4.92	0.000
4.93	0.000
4.94	0.000
4.95	0.000
4.96	0.000
4.97	0.000
4.98	0.000
4.99	0.000
5	0.000
