0.59088	0.76935
0.62701	0.73828
0.64997	0.7574
0.66848	0.78589
0.68446	0.82857
0.69918	0.86878
0.7073	0.91238
0.74534	0.94569
0.77443	0.92569
0.79431	0.89595
0.80864	0.85813
0.83284	0.83126
0.84501	0.79708
0.86274	0.76984
0.88191	0.74433
0.95444	0.7525
0.99836	0.78959
1.03991	0.82534
1.06851	0.85105
1.09626	0.88172
1.12923	0.91167
1.17191	0.93272
1.22255	0.94504
1.27184	0.93445
1.34732	0.90495
1.39584	0.87486
1.44676	0.84859
1.51481	0.81678
1.57476	0.7933
1.65558	0.77204
1.73195	0.76245
1.8118	0.76028
1.89166	0.76254
1.97151	0.77108
2.05136	0.78356
2.13122	0.79822
2.20702	0.81427
2.2887	0.82928
2.36792	0.84721
2.45063	0.86469
2.53048	0.87998
2.61034	0.89402
2.69019	0.90711
2.77004	0.9184
2.8499	0.92769
2.92975	0.93571
3.0096	0.94194
3.08946	0.94688
3.16931	0.95156
3.24916	0.9531
3.32901	0.95296
3.40887	0.95258
3.48872	0.95141
3.56857	0.94948
3.64843	0.94748
3.72828	0.9447
3.80813	0.9411
3.88799	0.93593
3.96784	0.93288
4.04477	0.9291
4.12755	0.92346
4.2074	0.91932
4.28725	0.9134
4.36711	0.90726
4.44696	0.90173
4.52681	0.89773
4.60667	0.89162
4.68652	0.88728
4.76637	0.87987
4.84623	0.87432
4.92418	0.87149
5.00586	0.86158
