1.5000, 7.2845
1.5100, 7.5656
1.5200, 7.9106
1.5300, 8.4344
1.5400, 9.1101
1.5500, 9.6219
1.5600, 10.195
1.5700, 10.735
1.5800, 11.792
1.5900, 12.587
1.6000, 13.424
1.6100, 14.681
1.6200, 15.692
1.6300, 16.780
1.6400, 17.989
1.6500, 19.259
1.6600, 20.991
1.6700, 22.434
1.6800, 24.250
1.6900, 26.773
1.7000, 29.056
1.7100, 30.764
1.7200, 33.095
1.7300, 35.789
1.7400, 38.349
1.7500, 41.225
1.7600, 44.101
1.7700, 47.883
1.7800, 50.802
1.7900, 53.920
1.8000, 57.333
1.8100, 61.406
1.8200, 64.303
1.8300, 67.685
1.8400, 71.245
1.8500, 74.268
1.8600, 77.169
1.8700, 80.150
1.8800, 83.113
1.8900, 84.858
1.9000, 87.108
1.9100, 89.201
1.9200, 91.133
1.9300, 92.256
1.9400, 93.417
1.9500, 94.723
1.9600, 95.662
1.9700, 96.328
1.9800, 97.012
1.9900, 97.476
2.0000, 97.827
2.0100, 98.030
2.0200, 98.297
2.0300, 98.384
2.0400, 98.479
2.0500, 98.536
2.0600, 98.573
2.0700, 98.525
2.0800, 98.425
2.0900, 98.391
2.1000, 98.302
2.1100, 98.203
2.1200, 98.156
2.1300, 98.076
2.1400, 98.066
2.1500, 97.928
2.1600, 97.931
2.1700, 97.934
2.1800, 97.793
2.1900, 97.822
2.2000, 97.792
2.2100, 97.794
2.2200, 97.794
2.2300, 97.794
2.2400, 97.794
2.2500, 97.791
2.2600, 97.844
2.2700, 97.840
2.2800, 97.838
2.2900, 97.894
2.3000, 97.837
2.3100, 97.841
2.3200, 97.934
2.3300, 97.925
2.3400, 97.932
2.3500, 97.931
2.3600, 97.960
2.3700, 97.919
2.3800, 98.070
2.3900, 98.094
2.4000, 97.984
2.4100, 97.977
2.4200, 98.071
2.4300, 98.067
2.4400, 98.067
2.4500, 98.069
2.4600, 98.016
2.4700, 97.986
2.4800, 97.931
2.4900, 97.931
2.5000, 97.930
2.5100, 97.884
2.5200, 97.792
2.5300, 97.814
2.5400, 97.752
2.5500, 97.742
2.5600, 97.653
2.5700, 97.624
2.5800, 97.560
2.5900, 97.477
2.6000, 97.443
2.6100, 97.430
2.6200, 97.377
2.6300, 97.288
2.6400, 97.215
2.6500, 97.066
2.6600, 96.948
2.6700, 96.884
2.6800, 96.743
2.6900, 96.572
2.7000, 96.411
2.7100, 96.248
2.7200, 95.988
2.7300, 95.766
2.7400, 95.533
2.7500, 95.266
2.7600, 94.940
2.7700, 94.683
2.7800, 94.467
2.7900, 94.211
2.8000, 94.083
2.8100, 93.926
2.8200, 93.764
2.8300, 93.603
2.8400, 93.474
2.8500, 93.417
2.8600, 93.332
2.8700, 93.282
2.8800, 93.241
2.8900, 93.178
2.9000, 93.156
2.9100, 93.104
2.9200, 93.105
2.9300, 93.105
2.9400, 93.105
2.9500, 93.105
2.9600, 93.106
2.9700, 93.139
2.9800, 93.195
2.9900, 93.255
3.0000, 93.335
3.0100, 93.330
3.0200, 93.426
3.0300, 93.446
3.0400, 93.506
3.0500, 93.563
3.0600, 93.655
3.0700, 93.647
3.0800, 93.740
3.0900, 93.844
3.1000, 93.918
3.1100, 94.015
3.1200, 94.060
3.1300, 94.073
3.1400, 94.233
3.1500, 94.336
3.1600, 94.404
3.1700, 94.549
3.1800, 94.606
3.1900, 94.705
3.2000, 94.776
3.2100, 94.902
3.2200, 94.972
3.2300, 95.000
3.2400, 95.159
3.2500, 95.199
3.2600, 95.327
3.2700, 95.439
3.2800, 95.557
3.2900, 95.609
3.3000, 95.710
3.3100, 95.731
3.3200, 95.882
3.3300, 95.929
3.3400, 95.974
3.3500, 96.108
3.3600, 96.118
3.3700, 96.200
3.3800, 96.285
3.3900, 96.343
3.4000, 96.405
3.4100, 96.501
3.4200, 96.568
3.4300, 96.673
3.4400, 96.806
3.4500, 96.882
3.4600, 96.936
3.4700, 97.048
3.4800, 97.067
3.4900, 97.167
3.5000, 97.253
3.5100, 97.281
3.5200, 97.431
3.5300, 97.495
3.5400, 97.546
3.5500, 97.654
3.5600, 97.752
3.5700, 97.768
3.5800, 97.841
3.5900, 97.842
3.6000, 97.930
3.6100, 97.980
3.6200, 98.022
3.6300, 98.085
3.6400, 98.135
3.6500, 98.205
3.6600, 98.251
3.6700, 98.302
3.6800, 98.370
3.6900, 98.385
3.7000, 98.483
3.7100, 98.521
3.7200, 98.568
3.7300, 98.569
3.7400, 98.594
3.7500, 98.607
3.7600, 98.703
3.7700, 98.725
3.7800, 98.745
3.7900, 98.797
3.8000, 98.854
3.8100, 98.850
3.8200, 98.888
3.8300, 98.936
3.8400, 98.932
3.8500, 98.929
3.8600, 98.975
3.8700, 99.020
3.8800, 99.124
3.8900, 99.069
3.9000, 99.069
3.9100, 99.064
3.9200, 99.115
3.9300, 99.114
3.9400, 99.114
3.9500, 99.114
3.9600, 99.117
3.9700, 99.205
3.9800, 99.254
3.9900, 99.251
4.0000, 99.251
4.0100, 99.251
4.0200, 99.251
4.0300, 99.251
4.0400, 99.251
4.0500, 99.252
4.0600, 99.298
4.0700, 99.297
4.0800, 99.296
4.0900, 99.296
4.1000, 99.296
4.1100, 99.296
4.1200, 99.296
4.1300, 99.296
4.1400, 99.296
4.1500, 99.296
4.1600, 99.296
4.1700, 99.296
4.1800, 99.296
4.1900, 99.296
4.2000, 99.296
4.2100, 99.296
4.2200, 99.296
4.2300, 99.296
4.2400, 99.296
4.2500, 99.296
4.2600, 99.296
4.2700, 99.296
4.2800, 99.296
