Microns Total_system_throughput
1.5985000000000003 0.0
1.5995000000000001 0.0
1.6005 5.511571803807156e-07
1.6015 8.027493116663772e-07
1.6025 4.7651018064112987e-07
1.6035 1.0399420577691292e-06
1.6045 2.05266421951892e-06
1.6055 3.96948970626378e-08
1.6065 9.653790325315787e-07
1.6075 1.4038922074980935e-06
1.6085 3.085505949694591e-07
1.6095 1.3861423222388482e-06
1.6105 1.3606221394402004e-06
1.6115 1.0943337555074161e-06
1.6125 2.95263399272364e-06
1.6135 1.2623623402948324e-06
1.6145 2.239999482202935e-06
1.6155 1.2896624958204737e-06
1.6165 2.58620356370463e-06
1.6175 2.5937051917055646e-06
1.6185 2.625660361982233e-06
1.6195 1.1610687092819704e-06
1.6205 2.986516589818106e-06
1.6215 1.4502079421104697e-06
1.6225 3.265537061392316e-06
1.6235 4.083036708017991e-06
1.6245 3.849441912155301e-06
1.6255 5.557100031301261e-06
1.6265 5.460635879714884e-06
1.6275 4.240131456691411e-06
1.6285 6.581372098289742e-06
1.6295 8.156224832204074e-06
1.6305 8.315808707503515e-06
1.6315 9.02151425754247e-06
1.6325 7.830216486075537e-06
1.6335 1.021348078055775e-05
1.6345 9.366584341268962e-06
1.6355 1.1885668917748932e-05
1.6365 1.2260525474105583e-05
1.6375 1.3290002103069143e-05
1.6385 1.516813483112646e-05
1.6395 1.6220278749670702e-05
1.6405 1.4354641013958822e-05
1.6415 1.8277445972670754e-05
1.6425 1.8097337297940666e-05
1.6435 2.0807630604977114e-05
1.6445 2.1890462195166084e-05
1.6455 2.4534977325245532e-05
1.6465 2.5682245813522097e-05
1.6475 2.6567808480472262e-05
1.6485 2.6639053878902493e-05
1.6495 2.9136817119085096e-05
1.6505 3.014057224152768e-05
1.6515 3.29336247251347e-05
1.6525 3.548506974611138e-05
1.6535 4.053624535080396e-05
1.6545 4.3996481616206894e-05
1.6555 4.32085996681609e-05
1.6565 4.786897357323954e-05
1.6575 5.6009326100485596e-05
1.6585 6.04240565817036e-05
1.6595 6.645925582810158e-05
1.6605 7.57077753356471e-05
1.6615 8.435604405902209e-05
1.6625 9.559483770744738e-05
1.6635 0.00010932810261296018
1.6645 0.00012426260820756408
1.6655 0.00014422790280759027
1.6665 0.00016391278537320817
1.6675 0.00019445794511294853
1.6685 0.00022301449301851558
1.6695 0.0002565294604172849
1.6705 0.0002967466375365721
1.6715 0.00033915101854679994
1.6725 0.0003877389043186398
1.6735 0.0004406104146250774
1.6745 0.0005075651618358293
1.6755 0.0005828489636288767
1.6765 0.0006614383675647603
1.6775 0.0007443451815241683
1.6785 0.0008180126155976733
1.6795 0.0009326656195837802
1.6805 0.0010461829578430827
1.6815 0.0011728799354230126
1.6825 0.0013094574690007523
1.6835 0.0014472258353547375
1.6845 0.0016101226941115396
1.6855 0.0017648943626161356
1.6865 0.001975099245138316
1.6875 0.0021688678225706107
1.6885 0.002394163650511638
1.6895 0.0027186094722932634
1.6905 0.002986543043476564
1.6915 0.00337209748065182
1.6925 0.0037586423348942057
1.6935 0.004276216529244207
1.6945 0.004915767962882969
1.6955 0.00551245431469096
1.6965 0.006429821342635628
1.6975 0.007693418823807475
1.6985 0.009098365293723962
1.6995 0.011031653382445642
1.7005 0.012873245755429828
1.7015 0.015641653053624544
1.7025 0.019028477033903344
1.7035 0.02259641959664278
1.7045 0.025439939085493593
1.7055 0.02794391560394951
1.7065 0.031105445270436523
1.7075 0.03419988265167493
1.7085 0.038559724855898564
1.7095 0.044221420923056046
