Microns Total_system_throughput
1.4284000244140622 0.0
1.4294000244140623 0.0
1.4304000244140624 8.845246445727279e-07
1.4314000244140626 2.824541659119335e-07
1.4324000244140624 1.8437374264438218e-06
1.4334000244140626 1.0802501090556524e-06
1.4344000244140624 2.985420586876349e-07
1.4354000244140626 8.804580177618744e-07
1.4364000244140624 6.538229863163484e-07
1.4374000244140626 1.2168645963273533e-06
1.4384000244140625 9.853086204193286e-07
1.4394000244140626 1.1154887657782411e-06
1.4404000244140625 8.913847426351116e-07
1.4414000244140626 2.9993905386889412e-06
1.4424000244140625 1.1246859113321638e-06
1.4434000244140626 2.5778097189482115e-06
1.4444000244140625 2.7366157193018247e-06
1.4454000244140626 3.4051274347196193e-06
1.4464000244140625 2.253565338833093e-06
1.4474000244140626 3.3393030206177173e-06
1.4484000244140625 4.454818794190479e-06
1.4494000244140626 2.812369472871801e-06
1.4504000244140625 4.3855899344997606e-06
1.4514000244140626 4.498603049359519e-06
1.4524000244140625 4.372018437492039e-06
1.4534000244140626 5.0970550817806085e-06
1.4544000244140625 4.723621888843886e-06
1.4554000244140626 6.149480983807301e-06
1.4564000244140625 6.663821746157609e-06
1.4574000244140626 7.858016675586152e-06
1.4584000244140625 7.54928164472449e-06
1.4594000244140626 7.2782111068901345e-06
1.4604000244140625 9.102377733849316e-06
1.4614000244140626 1.0844741252862513e-05
1.4624000244140625 1.1036348677474547e-05
1.4634000244140626 1.2073066239735223e-05
1.4644000244140625 1.3193745829009957e-05
1.4654000244140626 1.3791506973970116e-05
1.4664000244140625 1.7878241491208487e-05
1.4674000244140626 1.6190509764119316e-05
1.4684000244140625 2.03272583465252e-05
1.4694000244140626 2.0671619116667885e-05
1.4704000244140625 2.2345240127688198e-05
1.4714000244140626 2.6109318519534546e-05
1.4724000244140625 2.9528831186194842e-05
1.4734000244140626 3.263583373906785e-05
1.4744000244140625 3.5946890619109045e-05
1.4754000244140626 3.9553093572449694e-05
1.4764000244140625 4.2690085253333946e-05
1.4774000244140626 4.8339221492457255e-05
1.4784000244140625 5.30888012482086e-05
1.4794000244140626 6.145852865442096e-05
1.4804000244140625 6.697984584031174e-05
1.4814000244140626 7.277188086949331e-05
1.4824000244140625 8.417654957487159e-05
1.4834000244140626 9.128891754863542e-05
1.4844000244140625 0.00010327340855818884
1.4854000244140626 0.00011554196111265417
1.4864000244140625 0.00012963409635648304
1.4874000244140626 0.000147798223487745
1.4884000244140625 0.00016313455709141876
1.4894000244140626 0.00018753915767624765
1.4904000244140625 0.00021320005220298936
1.4914000244140626 0.00024261388135384627
1.4924000244140625 0.00027795153678193484
1.4934000244140626 0.0003170438489785085
1.4944000244140625 0.00037442591139206285
1.4954000244140624 0.0004144736597783217
1.4964000244140625 0.00048636557561590406
1.4974000244140624 0.000566160423673794
1.4984000244140625 0.0006674807445110033
1.4994000244140624 0.000769673586095344
1.5004000244140625 0.0009138858327085835
1.5014000244140624 0.001064193419138769
1.5024000244140625 0.0012414891137201786
1.5034000244140624 0.0014655135416680228
1.5044000244140625 0.0017026700263415779
1.5054000244140624 0.002025072914292096
1.5064000244140625 0.0023710207535415253
1.5074000244140624 0.0028028188786274047
1.5084000244140625 0.0032407085194520423
1.5094000244140624 0.0037872005271230515
1.5104000244140625 0.004422317219694661
1.5114000244140624 0.0052826118175299175
1.5124000244140625 0.006008963425035168
1.5134000244140624 0.00714022335758848
1.5144000244140625 0.007991871313432061
1.5154000244140624 0.009615349457437916
1.5164000244140625 0.011203117559900187
1.5174000244140624 0.013044438905196442
1.5184000244140625 0.014941029434012435
1.5194000244140624 0.016559188222257496
1.5204000244140625 0.018348666781020453
1.5214000244140624 0.019989972292410767
1.5224000244140625 0.022484467357031458
1.5234000244140624 0.024867550229722826
1.5244000244140625 0.026683232885899515
1.5254000244140624 0.03091181954388842
1.5264000244140625 0.03403372767108456
1.5274000244140624 0.03818768842034801
1.5284000244140625 0.043497287899568374
1.5294000244140624 0.04952643423997541
1.5304000244140625 0.05678457639765026
1.5314000244140624 0.06475502854209476
1.5324000244140625 0.07455475906145793
1.5334000244140624 0.08675179270373437
1.5344000244140625 0.09799517061005208
1.5354000244140624 0.11622701503394167
1.5364000244140625 0.13148254952569724
1.5374000244140624 0.14882362568990687
1.5384000244140625 0.18006314599831577
1.5394000244140624 0.20352037361324643
1.5404000244140625 0.2355933183466787
1.5414000244140624 0.26822264281725605
1.5424000244140625 0.3045377841613639
1.5434000244140624 0.33590028078522705
1.5444000244140625 0.3710946084283657
1.5454000244140624 0.4015922159884501
1.5464000244140625 0.4236153716840479
1.5474000244140624 0.4471100003156601
1.5484000244140625 0.4636837248534519
1.5494000244140624 0.4755405488496374
1.5504000244140625 0.4843104762115345
1.5514000244140624 0.48741895432819793
1.5524000244140626 0.4968401682591614
1.5534000244140624 0.49350627238587186
1.5544000244140626 0.5007071472737549
1.5554000244140624 0.5018909053792926
1.5564000244140626 0.5071875909405481
1.5574000244140624 0.5051001000318303
1.5584000244140626 0.5038268404539977
1.5594000244140624 0.5179966762612993
1.5604000244140626 0.5117611689795495
1.5614000244140624 0.5127363814399406
1.5624000244140626 0.5233412150705526
1.5634000244140625 0.51988757730611
1.5644000244140626 0.5148481997729357
1.5654000244140625 0.5228622606167276
1.5664000244140626 0.518641015668464
1.5674000244140625 0.5188758039097967
1.5684000244140626 0.5248723183665249
1.5694000244140625 0.5262139118675341
1.5704000244140626 0.5197906517664392
1.5714000244140625 0.5184825644630088
1.5724000244140626 0.5256130426372736
1.5734000244140625 0.5156225054845582
